campaign_cycle_index,batch_index,carton_index,cell_cycle_duration_sim_s,robot_cycle_duration_sim_s,planned_motion_s,q2_q3_max_error_deg,placement_xy_error_m,placement_z_error_m,placement_yaw_error_deg,tracking_error_max_rad,saturation_global_max_contiguous_s,indexer_direct_state_age_wall_s,status,batch_reset_before_cycle
11,1,11,11.200999999999993,11.200999999999993,10.21,0.5406880755273988,0.004097990636388884,0.005030296070446916,0.1539515859077349,0.011033707931776826,0.01,,PASS,False
12,1,12,10.248000000000005,10.248000000000005,9.64,0.5409405167248593,0.0018674789663570286,0.003656993171262668,0.1350603731705628,0.009895971272310122,0.01,,PASS,False
13,2,1,9.793,9.793,8.488529983769915,0.8018388571063184,0.0031016395136411424,0.004295431584995679,0.25970139441927487,0.016227244851213518,0.0,,PASS,True
14,2,2,9.774000000000001,9.774000000000001,8.400410255506266,0.7211859510551761,0.0015260638415749755,0.004121381988892336,0.19481012806002299,0.018105241163027586,0.0,0.00035754199984694424,PASS,False
15,2,3,9.958000000000002,9.958000000000002,8.487269433121122,0.6610958112061098,0.005197892204035562,0.005028540733550746,0.47344631693318945,0.020501806678968837,0.0,,PASS,False
16,2,4,10.234000000000002,9.816000000000003,8.399082513623364,0.623621140396935,0.0063243948115365356,0.005043097618050552,0.24182252309296423,0.01989628820923306,0.01,0.02938912500007973,PASS,False
17,2,5,10.82,10.82,9.489999999999998,0.6057906315820958,0.013306474678278642,0.003786427645928736,0.27630977876925483,0.015334875595077957,0.01,,PASS,False
18,2,6,10.801000000000002,10.801000000000002,9.489999999999998,0.5801943543239503,0.014306105154306912,0.004130183701835155,0.9803183368190953,0.014845075520341311,0.01,0.0004367080000520218,PASS,False
19,2,7,10.831000000000003,10.831000000000003,9.489999999999998,0.554824291178619,0.012863266326600615,0.004567351392922525,0.16997578324905244,0.012998880790072942,0.01,,PASS,False
20,2,8,10.786000000000001,10.653000000000006,9.489999999999998,0.5465806639908379,0.012630240377897835,0.004910704633254714,0.4781143174527693,0.014404545485541043,0.01,0.002969709000126386,PASS,False
21,2,9,11.262,11.262,10.21,0.5348376732929978,0.004432152275005375,0.0035972361758793703,0.1256980888734883,0.011062052515965037,0.01,,PASS,False
22,2,10,11.155999999999992,11.155999999999992,10.21,0.5390328305815189,0.0026547621160985303,0.0037951025175895214,0.15589082654976685,0.011703849476843553,0.01,0.0006735410001965647,PASS,False
23,2,11,11.096000000000004,11.096000000000004,10.21,0.5388274434967002,0.0038252218200114482,0.0040301999709317915,0.1366503037753393,0.011176800789291619,0.01,,PASS,False
24,2,12,10.251999999999995,10.251999999999995,9.64,0.5365817000424187,0.0019782877418204397,0.003650382118503437,0.1308001707266309,0.009759356038008926,0.01,,PASS,False
25,3,1,9.834999999999999,9.834999999999999,8.48848752665096,0.7994098784170092,0.0026647452990328463,0.004246145974447502,0.22674642256232974,0.016665674351072246,0.0,,PASS,True
26,3,2,9.889000000000003,9.889000000000003,8.400392016992527,0.7235302188986168,0.0017015424448846735,0.005062764042451096,0.20829300933753614,0.021721266176261578,0.0,0.0228223330000219,PASS,False
27,3,3,9.848000000000003,9.848000000000003,8.487383771139122,0.6623433541054311,0.005028267115010814,0.005041711841634933,0.4702936809187767,0.01754120092878786,0.0,,PASS,False
28,3,4,10.232999999999997,9.823999999999998,8.39909369862128,0.6207025520658362,0.006280072818626806,0.005041335787710266,0.24369170298156953,0.01455272043050404,0.0,0.02496800000017174,PASS,False
29,3,5,10.815000000000005,10.815000000000005,9.489999999999998,0.6001879229579856,0.013196706072881304,0.00501100643389929,0.2145356308205073,0.031147502210585598,0.0,,PASS,False
30,3,6,10.761999999999993,10.761999999999993,9.489999999999998,0.5781086926103853,0.01376433375682798,0.005041111348114136,0.9778539779278838,0.014550710563506764,0.0,0.0003775840000344033,PASS,False
31,3,7,10.611000000000004,10.611000000000004,9.489999999999998,0.5564452566048601,0.013589164350819919,0.004685595129261921,0.11738072855518607,0.014334116410141262,0.0,,PASS,False
32,3,8,10.769999999999996,10.631,9.489999999999998,0.5422831728810138,0.012508567042971094,0.005023292775182653,0.4741177510042061,0.014960451904025396,0.0,0.0006780829999115667,PASS,False
33,3,9,11.406000000000006,11.406000000000006,10.21,0.5309352863378507,0.0038230339252462997,0.0045844467820845836,0.31790414373323367,0.012715304145232809,0.0,,PASS,False
34,3,10,11.171000000000006,11.171000000000006,10.21,0.5389910356173999,0.0028057563748020444,0.004530049098957489,0.2078735813402152,0.0116889423267863,0.0,0.0007307089999812888,PASS,False
35,3,11,11.080999999999989,11.080999999999989,10.21,0.539422750210278,0.0038967429074152353,0.003584781082192068,0.11284824859665148,0.01413297407732228,0.0,,PASS,False
36,3,12,10.27600000000001,10.27600000000001,9.64,0.5376441525954334,0.0015187749735805361,0.003644796634038494,0.15080636401211658,0.011656622350773915,0.0,,PASS,False
37,4,1,9.793000000000003,9.793000000000003,8.488444475656934,0.8045611086189268,0.0029860998141857265,0.004805306303116597,0.24386270703735147,0.01734485337804703,0.0,,PASS,True
38,4,2,9.674,9.674,8.400415819146989,0.7224058791423431,0.0014852527896008498,0.0041216065185247786,0.19131952983045195,0.015049472842547984,0.0,0.0004269999999451102,PASS,False
39,4,3,9.922,9.922,8.487278144991265,0.6591779601208714,0.005196509313614108,0.005078639212125813,0.47508654862820776,0.021452542132152308,0.0,,PASS,False
40,4,4,10.088000000000001,9.701,8.399102819851729,0.6166676700987352,0.006372778811637236,0.00393776257235523,0.23186323041286525,0.011082638625814711,0.0,0.00040300000000570435,PASS,False
41,4,5,10.814,10.814,9.49,0.6058977341773897,0.013347387237380704,0.004778354707842158,0.2429055843610806,0.020115280528661073,0.0,,PASS,False
42,4,6,10.817999999999998,10.817999999999998,9.489999999999998,0.5757380364476035,0.014011535118132438,0.0044475961042170775,0.9766375724890741,0.014406901930116067,0.0,0.0004442920003384643,PASS,False
43,4,7,10.63900000000001,10.63900000000001,9.489999999999998,0.5570049430095736,0.013800486612812206,0.004563370355693208,0.06939470625119325,0.01553462741875844,0.0,,PASS,False
44,4,8,10.774000000000001,10.647999999999996,9.489999999999998,0.5459081877715732,0.01253577242083417,0.0050205575055535245,0.4703962733531849,0.014376232807136402,0.0,0.0006415839998226147,PASS,False
45,4,9,11.525999999999996,11.525999999999996,10.21,0.5356624400742334,0.0033665108984155304,0.0037036044134381996,0.32621903726463486,0.01382086672471794,0.0,,PASS,False
46,4,10,11.158999999999992,11.158999999999992,10.21,0.5373444642838621,0.0024481774718791804,0.0036490175328580676,0.20176909834046522,0.011093812867914332,0.0,0.005813834000036877,PASS,False
47,4,11,11.021,11.021,10.21,0.5397797201531915,0.004021403383559418,0.0034280619106248356,0.08105032025475122,0.010055927534821985,0.0,,PASS,False
48,4,12,10.304000000000002,10.304000000000002,9.64,0.5376398224571659,0.002011779153602027,0.00512097783643517,0.1835414202381175,0.010454135550109767,0.0,,PASS,False
49,5,1,9.987,9.987,8.488548639292842,0.8045749229043935,0.0028761003587632543,0.004287140907593301,0.24932341077181377,0.02559110620282201,0.0,,PASS,True
50,5,2,9.797,9.797,8.400384127076773,0.7200369899625088,0.0009464092739056057,0.004198577731324593,0.19210933971876393,0.01852636835182797,0.0,0.021773874999780674,PASS,False
51,5,3,10.001000000000001,10.001000000000001,8.487030769196654,0.6593511055345118,0.005997643050131803,0.005053327788855477,0.46908588014285585,0.019125664050958724,0.0,,PASS,False
52,5,4,10.101999999999997,9.704999999999998,8.399108390203697,0.6160492577277807,0.0066689330378943345,0.003941155218894377,0.231793112831992,0.011296331789408143,0.0,0.0004446250000000873,PASS,False
53,5,5,10.760000000000005,10.760000000000005,9.489999999999998,0.5976648935991875,0.013148023482022615,0.0037885510291706392,0.3291879322192773,0.025779894803761083,0.01,,PASS,False
54,5,6,10.792999999999992,10.792999999999992,9.489999999999998,0.5740513203962507,0.01410013578425595,0.0039005768630470117,0.9466144313709887,0.015902006105485533,0.01,0.0006039169998075522,PASS,False
55,5,7,10.682000000000002,10.682000000000002,9.489999999999998,0.5591420560979401,0.012177672222103409,0.004563738384105398,0.07811875957912492,0.013395834038550936,0.01,,PASS,False
56,5,8,10.735,10.598000000000013,9.489999999999998,0.5447759564127779,0.012644813123726239,0.005018106847734183,0.4767740047774758,0.014530078749222408,0.01,0.0004418340004122001,PASS,False
57,5,9,11.457000000000008,11.457000000000008,10.21,0.5360916193279621,0.0032679807038618097,0.003373041855055048,0.32337125745833484,0.014219468292916204,0.01,,PASS,False
58,5,10,11.164000000000001,11.164000000000001,10.21,0.5369251956865781,0.002006936827511966,0.004867847173678053,0.21578993887178774,0.011425143788637682,0.01,0.02706808299990371,PASS,False
59,5,11,11.168000000000006,11.168000000000006,10.21,0.5385294095066939,0.0037008639079577545,0.0034353367361485976,0.12065300919945439,0.012326525653673759,0.01,,PASS,False
